,speech,label
70,./dataset\TESS Toronto emotional speech set data\OAF_angry\OAF_jug_angry.wav,angry
71,./dataset\TESS Toronto emotional speech set data\OAF_angry\OAF_juice_angry.wav,angry
72,./dataset\TESS Toronto emotional speech set data\OAF_angry\OAF_keen_angry.wav,angry
73,./dataset\TESS Toronto emotional speech set data\OAF_angry\OAF_keep_angry.wav,angry
74,./dataset\TESS Toronto emotional speech set data\OAF_angry\OAF_keg_angry.wav,angry
75,./dataset\TESS Toronto emotional speech set data\OAF_angry\OAF_kick_angry.wav,angry
76,./dataset\TESS Toronto emotional speech set data\OAF_angry\OAF_kill_angry.wav,angry
77,./dataset\TESS Toronto emotional speech set data\OAF_angry\OAF_king_angry.wav,angry
78,./dataset\TESS Toronto emotional speech set data\OAF_angry\OAF_kite_angry.wav,angry
79,./dataset\TESS Toronto emotional speech set data\OAF_angry\OAF_knock_angry.wav,angry
80,./dataset\TESS Toronto emotional speech set data\OAF_angry\OAF_late_angry.wav,angry
81,./dataset\TESS Toronto emotional speech set data\OAF_angry\OAF_laud_angry.wav,angry
82,./dataset\TESS Toronto emotional speech set data\OAF_angry\OAF_lean_angry.wav,angry
83,./dataset\TESS Toronto emotional speech set data\OAF_angry\OAF_learn_angry.wav,angry
84,./dataset\TESS Toronto emotional speech set data\OAF_angry\OAF_lease_angry.wav,angry
85,./dataset\TESS Toronto emotional speech set data\OAF_angry\OAF_lid_angry.wav,angry
86,./dataset\TESS Toronto emotional speech set data\OAF_angry\OAF_life_angry.wav,angry
87,./dataset\TESS Toronto emotional speech set data\OAF_angry\OAF_limb_angry.wav,angry
88,./dataset\TESS Toronto emotional speech set data\OAF_angry\OAF_live_angry.wav,angry
89,./dataset\TESS Toronto emotional speech set data\OAF_angry\OAF_loaf_angry.wav,angry
90,./dataset\TESS Toronto emotional speech set data\OAF_angry\OAF_long_angry.wav,angry
91,./dataset\TESS Toronto emotional speech set data\OAF_angry\OAF_lore_angry.wav,angry
92,./dataset\TESS Toronto emotional speech set data\OAF_angry\OAF_lose_angry.wav,angry
93,./dataset\TESS Toronto emotional speech set data\OAF_angry\OAF_lot_angry.wav,angry
94,./dataset\TESS Toronto emotional speech set data\OAF_angry\OAF_love_angry.wav,angry
95,./dataset\TESS Toronto emotional speech set data\OAF_angry\OAF_luck_angry.wav,angry
96,./dataset\TESS Toronto emotional speech set data\OAF_angry\OAF_make_angry.wav,angry
97,./dataset\TESS Toronto emotional speech set data\OAF_angry\OAF_match_angry.wav,angry
98,./dataset\TESS Toronto emotional speech set data\OAF_angry\OAF_merge_angry.wav,angry
99,./dataset\TESS Toronto emotional speech set data\OAF_angry\OAF_mess_angry.wav,angry
100,./dataset\TESS Toronto emotional speech set data\OAF_angry\OAF_met_angry.wav,angry
101,./dataset\TESS Toronto emotional speech set data\OAF_angry\OAF_mill_angry.wav,angry
102,./dataset\TESS Toronto emotional speech set data\OAF_angry\OAF_mob_angry.wav,angry
103,./dataset\TESS Toronto emotional speech set data\OAF_angry\OAF_mode_angry.wav,angry
104,./dataset\TESS Toronto emotional speech set data\OAF_angry\OAF_mood_angry.wav,angry
105,./dataset\TESS Toronto emotional speech set data\OAF_angry\OAF_moon_angry.wav,angry
106,./dataset\TESS Toronto emotional speech set data\OAF_angry\OAF_mop_angry.wav,angry
107,./dataset\TESS Toronto emotional speech set data\OAF_angry\OAF_mouse_angry.wav,angry
108,./dataset\TESS Toronto emotional speech set data\OAF_angry\OAF_nag_angry.wav,angry
109,./dataset\TESS Toronto emotional speech set data\OAF_angry\OAF_name_angry.wav,angry
110,./dataset\TESS Toronto emotional speech set data\OAF_angry\OAF_near_angry.wav,angry
111,./dataset\TESS Toronto emotional speech set data\OAF_angry\OAF_neat_angry.wav,angry
112,./dataset\TESS Toronto emotional speech set data\OAF_angry\OAF_nice_angry.wav,angry
113,./dataset\TESS Toronto emotional speech set data\OAF_angry\OAF_note_angry.wav,angry
114,./dataset\TESS Toronto emotional speech set data\OAF_angry\OAF_numb_angry.wav,angry
115,./dataset\TESS Toronto emotional speech set data\OAF_angry\OAF_pad_angry.wav,angry
116,./dataset\TESS Toronto emotional speech set data\OAF_angry\OAF_page_angry.wav,angry
117,./dataset\TESS Toronto emotional speech set data\OAF_angry\OAF_pain_angry.wav,angry
118,./dataset\TESS Toronto emotional speech set data\OAF_angry\OAF_pass_angry.wav,angry
119,./dataset\TESS Toronto emotional speech set data\OAF_angry\OAF_pearl_angry.wav,angry
120,./dataset\TESS Toronto emotional speech set data\OAF_angry\OAF_peg_angry.wav,angry
121,./dataset\TESS Toronto emotional speech set data\OAF_angry\OAF_perch_angry.wav,angry
122,./dataset\TESS Toronto emotional speech set data\OAF_angry\OAF_phone_angry.wav,angry
123,./dataset\TESS Toronto emotional speech set data\OAF_angry\OAF_pick_angry.wav,angry
124,./dataset\TESS Toronto emotional speech set data\OAF_angry\OAF_pike_angry.wav,angry
125,./dataset\TESS Toronto emotional speech set data\OAF_angry\OAF_pole_angry.wav,angry
126,./dataset\TESS Toronto emotional speech set data\OAF_angry\OAF_pool_angry.wav,angry
127,./dataset\TESS Toronto emotional speech set data\OAF_angry\OAF_puff_angry.wav,angry
128,./dataset\TESS Toronto emotional speech set data\OAF_angry\OAF_rag_angry.wav,angry
129,./dataset\TESS Toronto emotional speech set data\OAF_angry\OAF_raid_angry.wav,angry
130,./dataset\TESS Toronto emotional speech set data\OAF_angry\OAF_rain_angry.wav,angry
131,./dataset\TESS Toronto emotional speech set data\OAF_angry\OAF_raise_angry.wav,angry
132,./dataset\TESS Toronto emotional speech set data\OAF_angry\OAF_rat_angry.wav,angry
133,./dataset\TESS Toronto emotional speech set data\OAF_angry\OAF_reach_angry.wav,angry
134,./dataset\TESS Toronto emotional speech set data\OAF_angry\OAF_read_angry.wav,angry
135,./dataset\TESS Toronto emotional speech set data\OAF_angry\OAF_red_angry.wav,angry
136,./dataset\TESS Toronto emotional speech set data\OAF_angry\OAF_ring_angry.wav,angry
137,./dataset\TESS Toronto emotional speech set data\OAF_angry\OAF_ripe_angry.wav,angry
138,./dataset\TESS Toronto emotional speech set data\OAF_angry\OAF_road_angry.wav,angry
139,./dataset\TESS Toronto emotional speech set data\OAF_angry\OAF_room_angry.wav,angry
140,./dataset\TESS Toronto emotional speech set data\OAF_angry\OAF_rose_angry.wav,angry
141,./dataset\TESS Toronto emotional speech set data\OAF_angry\OAF_rot_angry.wav,angry
142,./dataset\TESS Toronto emotional speech set data\OAF_angry\OAF_rough_angry.wav,angry
143,./dataset\TESS Toronto emotional speech set data\OAF_angry\OAF_rush_angry.wav,angry
144,./dataset\TESS Toronto emotional speech set data\OAF_angry\OAF_said_angry.wav,angry
145,./dataset\TESS Toronto emotional speech set data\OAF_angry\OAF_sail_angry.wav,angry
146,./dataset\TESS Toronto emotional speech set data\OAF_angry\OAF_search_angry.wav,angry
147,./dataset\TESS Toronto emotional speech set data\OAF_angry\OAF_seize_angry.wav,angry
148,./dataset\TESS Toronto emotional speech set data\OAF_angry\OAF_sell_angry.wav,angry
149,./dataset\TESS Toronto emotional speech set data\OAF_angry\OAF_shack_angry.wav,angry
150,./dataset\TESS Toronto emotional speech set data\OAF_angry\OAF_shall_angry.wav,angry
151,./dataset\TESS Toronto emotional speech set data\OAF_angry\OAF_shawl_angry.wav,angry
152,./dataset\TESS Toronto emotional speech set data\OAF_angry\OAF_sheep_angry.wav,angry
153,./dataset\TESS Toronto emotional speech set data\OAF_angry\OAF_shirt_angry.wav,angry
154,./dataset\TESS Toronto emotional speech set data\OAF_angry\OAF_should_angry.wav,angry
155,./dataset\TESS Toronto emotional speech set data\OAF_angry\OAF_shout_angry.wav,angry
156,./dataset\TESS Toronto emotional speech set data\OAF_angry\OAF_size_angry.wav,angry
157,./dataset\TESS Toronto emotional speech set data\OAF_angry\OAF_soap_angry.wav,angry
158,./dataset\TESS Toronto emotional speech set data\OAF_angry\OAF_soup_angry.wav,angry
159,./dataset\TESS Toronto emotional speech set data\OAF_angry\OAF_sour_angry.wav,angry
160,./dataset\TESS Toronto emotional speech set data\OAF_angry\OAF_south_angry.wav,angry
161,./dataset\TESS Toronto emotional speech set data\OAF_angry\OAF_sub_angry.wav,angry
162,./dataset\TESS Toronto emotional speech set data\OAF_angry\OAF_such_angry.wav,angry
163,./dataset\TESS Toronto emotional speech set data\OAF_angry\OAF_sure_angry.wav,angry
164,./dataset\TESS Toronto emotional speech set data\OAF_angry\OAF_take_angry.wav,angry
165,./dataset\TESS Toronto emotional speech set data\OAF_angry\OAF_talk_angry.wav,angry
166,./dataset\TESS Toronto emotional speech set data\OAF_angry\OAF_tape_angry.wav,angry
167,./dataset\TESS Toronto emotional speech set data\OAF_angry\OAF_team_angry.wav,angry
168,./dataset\TESS Toronto emotional speech set data\OAF_angry\OAF_tell_angry.wav,angry
169,./dataset\TESS Toronto emotional speech set data\OAF_angry\OAF_thin_angry.wav,angry
170,./dataset\TESS Toronto emotional speech set data\OAF_angry\OAF_third_angry.wav,angry
171,./dataset\TESS Toronto emotional speech set data\OAF_angry\OAF_thought_angry.wav,angry
172,./dataset\TESS Toronto emotional speech set data\OAF_angry\OAF_thumb_angry.wav,angry
173,./dataset\TESS Toronto emotional speech set data\OAF_angry\OAF_time_angry.wav,angry
174,./dataset\TESS Toronto emotional speech set data\OAF_angry\OAF_tip_angry.wav,angry
175,./dataset\TESS Toronto emotional speech set data\OAF_angry\OAF_tire_angry.wav,angry
176,./dataset\TESS Toronto emotional speech set data\OAF_angry\OAF_ton_angry.wav,angry
177,./dataset\TESS Toronto emotional speech set data\OAF_angry\OAF_tool_angry.wav,angry
178,./dataset\TESS Toronto emotional speech set data\OAF_angry\OAF_tough_angry.wav,angry
179,./dataset\TESS Toronto emotional speech set data\OAF_angry\OAF_turn_angry.wav,angry
180,./dataset\TESS Toronto emotional speech set data\OAF_angry\OAF_vine_angry.wav,angry
181,./dataset\TESS Toronto emotional speech set data\OAF_angry\OAF_voice_angry.wav,angry
182,./dataset\TESS Toronto emotional speech set data\OAF_angry\OAF_void_angry.wav,angry
183,./dataset\TESS Toronto emotional speech set data\OAF_angry\OAF_vote_angry.wav,angry
184,./dataset\TESS Toronto emotional speech set data\OAF_angry\OAF_wag_angry.wav,angry
185,./dataset\TESS Toronto emotional speech set data\OAF_angry\OAF_walk_angry.wav,angry
186,./dataset\TESS Toronto emotional speech set data\OAF_angry\OAF_wash_angry.wav,angry
187,./dataset\TESS Toronto emotional speech set data\OAF_angry\OAF_week_angry.wav,angry
188,./dataset\TESS Toronto emotional speech set data\OAF_angry\OAF_wheat_angry.wav,angry
189,./dataset\TESS Toronto emotional speech set data\OAF_angry\OAF_when_angry.wav,angry
190,./dataset\TESS Toronto emotional speech set data\OAF_angry\OAF_which_angry.wav,angry
191,./dataset\TESS Toronto emotional speech set data\OAF_angry\OAF_whip_angry.wav,angry
192,./dataset\TESS Toronto emotional speech set data\OAF_angry\OAF_white_angry.wav,angry
193,./dataset\TESS Toronto emotional speech set data\OAF_angry\OAF_wife_angry.wav,angry
194,./dataset\TESS Toronto emotional speech set data\OAF_angry\OAF_wire_angry.wav,angry
195,./dataset\TESS Toronto emotional speech set data\OAF_angry\OAF_witch_angry.wav,angry
196,./dataset\TESS Toronto emotional speech set data\OAF_angry\OAF_yearn_angry.wav,angry
197,./dataset\TESS Toronto emotional speech set data\OAF_angry\OAF_yes_angry.wav,angry
198,./dataset\TESS Toronto emotional speech set data\OAF_angry\OAF_young_angry.wav,angry
199,./dataset\TESS Toronto emotional speech set data\OAF_angry\OAF_youth_angry.wav,angry
200,./dataset\TESS Toronto emotional speech set data\OAF_disgust\OAF_back_disgust.wav,disgust
201,./dataset\TESS Toronto emotional speech set data\OAF_disgust\OAF_bar_disgust.wav,disgust
202,./dataset\TESS Toronto emotional speech set data\OAF_disgust\OAF_base_disgust.wav,disgust
203,./dataset\TESS Toronto emotional speech set data\OAF_disgust\OAF_bath_disgust.wav,disgust
204,./dataset\TESS Toronto emotional speech set data\OAF_disgust\OAF_bean_disgust.wav,disgust
205,./dataset\TESS Toronto emotional speech set data\OAF_disgust\OAF_beg_disgust.wav,disgust
206,./dataset\TESS Toronto emotional speech set data\OAF_disgust\OAF_bite_disgust.wav,disgust
207,./dataset\TESS Toronto emotional speech set data\OAF_disgust\OAF_boat_disgust.wav,disgust
208,./dataset\TESS Toronto emotional speech set data\OAF_disgust\OAF_bone_disgust.wav,disgust
209,./dataset\TESS Toronto emotional speech set data\OAF_disgust\OAF_book_disgust.wav,disgust
210,./dataset\TESS Toronto emotional speech set data\OAF_disgust\OAF_bought_disgust.wav,disgust
211,./dataset\TESS Toronto emotional speech set data\OAF_disgust\OAF_burn_disgust.wav,disgust
212,./dataset\TESS Toronto emotional speech set data\OAF_disgust\OAF_cab_disgust.wav,disgust
213,./dataset\TESS Toronto emotional speech set data\OAF_disgust\OAF_calm_disgust.wav,disgust
214,./dataset\TESS Toronto emotional speech set data\OAF_disgust\OAF_came_disgust.wav,disgust
215,./dataset\TESS Toronto emotional speech set data\OAF_disgust\OAF_cause_disgust.wav,disgust
216,./dataset\TESS Toronto emotional speech set data\OAF_disgust\OAF_chain_disgust.wav,disgust
217,./dataset\TESS Toronto emotional speech set data\OAF_disgust\OAF_chair_disgust.wav,disgust
218,./dataset\TESS Toronto emotional speech set data\OAF_disgust\OAF_chalk_disgust.wav,disgust
219,./dataset\TESS Toronto emotional speech set data\OAF_disgust\OAF_chat_disgust.wav,disgust
220,./dataset\TESS Toronto emotional speech set data\OAF_disgust\OAF_check_disgust.wav,disgust
221,./dataset\TESS Toronto emotional speech set data\OAF_disgust\OAF_cheek_disgust.wav,disgust
222,./dataset\TESS Toronto emotional speech set data\OAF_disgust\OAF_chief_disgust.wav,disgust
223,./dataset\TESS Toronto emotional speech set data\OAF_disgust\OAF_choice_disgust.wav,disgust
224,./dataset\TESS Toronto emotional speech set data\OAF_disgust\OAF_cool_disgust.wav,disgust
225,./dataset\TESS Toronto emotional speech set data\OAF_disgust\OAF_dab_disgust.wav,disgust
226,./dataset\TESS Toronto emotional speech set data\OAF_disgust\OAF_date_disgust.wav,disgust
227,./dataset\TESS Toronto emotional speech set data\OAF_disgust\OAF_dead_disgust.wav,disgust
228,./dataset\TESS Toronto emotional speech set data\OAF_disgust\OAF_death_disgust.wav,disgust
229,./dataset\TESS Toronto emotional speech set data\OAF_disgust\OAF_deep_disgust.wav,disgust
230,./dataset\TESS Toronto emotional speech set data\OAF_disgust\OAF_dime_disgust.wav,disgust
231,./dataset\TESS Toronto emotional speech set data\OAF_disgust\OAF_dip_disgust.wav,disgust
232,./dataset\TESS Toronto emotional speech set data\OAF_disgust\OAF_ditch_disgust.wav,disgust
233,./dataset\TESS Toronto emotional speech set data\OAF_disgust\OAF_dodge_disgust.wav,disgust
234,./dataset\TESS Toronto emotional speech set data\OAF_disgust\OAF_dog_disgust.wav,disgust
235,./dataset\TESS Toronto emotional speech set data\OAF_disgust\OAF_doll_disgust.wav,disgust
236,./dataset\TESS Toronto emotional speech set data\OAF_disgust\OAF_door_disgust.wav,disgust
237,./dataset\TESS Toronto emotional speech set data\OAF_disgust\OAF_fail_disgust.wav,disgust
238,./dataset\TESS Toronto emotional speech set data\OAF_disgust\OAF_fall_disgust.wav,disgust
239,./dataset\TESS Toronto emotional speech set data\OAF_disgust\OAF_far_disgust.wav,disgust
240,./dataset\TESS Toronto emotional speech set data\OAF_disgust\OAF_fat_disgust.wav,disgust
241,./dataset\TESS Toronto emotional speech set data\OAF_disgust\OAF_fit_disgust.wav,disgust
242,./dataset\TESS Toronto emotional speech set data\OAF_disgust\OAF_five_disgust.wav,disgust
243,./dataset\TESS Toronto emotional speech set data\OAF_disgust\OAF_food_disgust.wav,disgust
244,./dataset\TESS Toronto emotional speech set data\OAF_disgust\OAF_gap_disgust.wav,disgust
245,./dataset\TESS Toronto emotional speech set data\OAF_disgust\OAF_gas_disgust.wav,disgust
246,./dataset\TESS Toronto emotional speech set data\OAF_disgust\OAF_gaze_disgust.wav,disgust
247,./dataset\TESS Toronto emotional speech set data\OAF_disgust\OAF_germ_disgust.wav,disgust
248,./dataset\TESS Toronto emotional speech set data\OAF_disgust\OAF_get_disgust.wav,disgust
249,./dataset\TESS Toronto emotional speech set data\OAF_disgust\OAF_gin_disgust.wav,disgust
250,./dataset\TESS Toronto emotional speech set data\OAF_disgust\OAF_goal_disgust.wav,disgust
251,./dataset\TESS Toronto emotional speech set data\OAF_disgust\OAF_good_disgust.wav,disgust
252,./dataset\TESS Toronto emotional speech set data\OAF_disgust\OAF_goose_disgust.wav,disgust
253,./dataset\TESS Toronto emotional speech set data\OAF_disgust\OAF_gun_disgust.wav,disgust
254,./dataset\TESS Toronto emotional speech set data\OAF_disgust\OAF_half_disgust.wav,disgust
255,./dataset\TESS Toronto emotional speech set data\OAF_disgust\OAF_hall_disgust.wav,disgust
256,./dataset\TESS Toronto emotional speech set data\OAF_disgust\OAF_hash_disgust.wav,disgust
257,./dataset\TESS Toronto emotional speech set data\OAF_disgust\OAF_hate_disgust.wav,disgust
258,./dataset\TESS Toronto emotional speech set data\OAF_disgust\OAF_have_disgust.wav,disgust
259,./dataset\TESS Toronto emotional speech set data\OAF_disgust\OAF_haze_disgust.wav,disgust
260,./dataset\TESS Toronto emotional speech set data\OAF_disgust\OAF_hire_disgust.wav,disgust
261,./dataset\TESS Toronto emotional speech set data\OAF_disgust\OAF_hit_disgust.wav,disgust
262,./dataset\TESS Toronto emotional speech set data\OAF_disgust\OAF_hole_disgust.wav,disgust
263,./dataset\TESS Toronto emotional speech set data\OAF_disgust\OAF_home_disgust.wav,disgust
264,./dataset\TESS Toronto emotional speech set data\OAF_disgust\OAF_hurl_disgust.wav,disgust
265,./dataset\TESS Toronto emotional speech set data\OAF_disgust\OAF_hush_disgust.wav,disgust
266,./dataset\TESS Toronto emotional speech set data\OAF_disgust\OAF_jail_disgust.wav,disgust
267,./dataset\TESS Toronto emotional speech set data\OAF_disgust\OAF_jar_disgust.wav,disgust
268,./dataset\TESS Toronto emotional speech set data\OAF_disgust\OAF_join_disgust.wav,disgust
269,./dataset\TESS Toronto emotional speech set data\OAF_disgust\OAF_judge_disgust.wav,disgust
270,./dataset\TESS Toronto emotional speech set data\OAF_disgust\OAF_jug_disgust.wav,disgust
271,./dataset\TESS Toronto emotional speech set data\OAF_disgust\OAF_juice_disgust.wav,disgust
272,./dataset\TESS Toronto emotional speech set data\OAF_disgust\OAF_keen_disgust.wav,disgust
273,./dataset\TESS Toronto emotional speech set data\OAF_disgust\OAF_keep_disgust.wav,disgust
274,./dataset\TESS Toronto emotional speech set data\OAF_disgust\OAF_keg_disgust.wav,disgust
275,./dataset\TESS Toronto emotional speech set data\OAF_disgust\OAF_kick_disgust.wav,disgust
276,./dataset\TESS Toronto emotional speech set data\OAF_disgust\OAF_kill_disgust.wav,disgust
277,./dataset\TESS Toronto emotional speech set data\OAF_disgust\OAF_king_disgust.wav,disgust
278,./dataset\TESS Toronto emotional speech set data\OAF_disgust\OAF_kite_disgust.wav,disgust
279,./dataset\TESS Toronto emotional speech set data\OAF_disgust\OAF_knock_disgust.wav,disgust
280,./dataset\TESS Toronto emotional speech set data\OAF_disgust\OAF_late_disgust.wav,disgust
281,./dataset\TESS Toronto emotional speech set data\OAF_disgust\OAF_laud_disgust.wav,disgust
282,./dataset\TESS Toronto emotional speech set data\OAF_disgust\OAF_lean_disgust.wav,disgust
283,./dataset\TESS Toronto emotional speech set data\OAF_disgust\OAF_learn_disgust.wav,disgust
284,./dataset\TESS Toronto emotional speech set data\OAF_disgust\OAF_lease_disgust.wav,disgust
285,./dataset\TESS Toronto emotional speech set data\OAF_disgust\OAF_lid_disgust.wav,disgust
286,./dataset\TESS Toronto emotional speech set data\OAF_disgust\OAF_life_disgust.wav,disgust
287,./dataset\TESS Toronto emotional speech set data\OAF_disgust\OAF_limb_disgust.wav,disgust
288,./dataset\TESS Toronto emotional speech set data\OAF_disgust\OAF_live_disgust.wav,disgust
289,./dataset\TESS Toronto emotional speech set data\OAF_disgust\OAF_loaf_disgust.wav,disgust
290,./dataset\TESS Toronto emotional speech set data\OAF_disgust\OAF_long_disgust.wav,disgust
291,./dataset\TESS Toronto emotional speech set data\OAF_disgust\OAF_lore_disgust.wav,disgust
292,./dataset\TESS Toronto emotional speech set data\OAF_disgust\OAF_lose_disgust.wav,disgust
293,./dataset\TESS Toronto emotional speech set data\OAF_disgust\OAF_lot_disgust.wav,disgust
294,./dataset\TESS Toronto emotional speech set data\OAF_disgust\OAF_love_disgust.wav,disgust
295,./dataset\TESS Toronto emotional speech set data\OAF_disgust\OAF_luck_disgust.wav,disgust
296,./dataset\TESS Toronto emotional speech set data\OAF_disgust\OAF_make_disgust.wav,disgust
297,./dataset\TESS Toronto emotional speech set data\OAF_disgust\OAF_match_disgust.wav,disgust
298,./dataset\TESS Toronto emotional speech set data\OAF_disgust\OAF_merge_disgust.wav,disgust
299,./dataset\TESS Toronto emotional speech set data\OAF_disgust\OAF_mess_disgust.wav,disgust
300,./dataset\TESS Toronto emotional speech set data\OAF_disgust\OAF_met_disgust.wav,disgust
301,./dataset\TESS Toronto emotional speech set data\OAF_disgust\OAF_mill_disgust.wav,disgust
302,./dataset\TESS Toronto emotional speech set data\OAF_disgust\OAF_mob_disgust.wav,disgust
303,./dataset\TESS Toronto emotional speech set data\OAF_disgust\OAF_mode_disgust.wav,disgust
304,./dataset\TESS Toronto emotional speech set data\OAF_disgust\OAF_mood_disgust.wav,disgust
